DATE,LREM64TTJPM156S
1978-09-01,66.58646
1978-10-01,66.74771
1978-11-01,66.8009
1978-12-01,66.85885
1979-01-01,67.07648
1979-02-01,67.00595
1979-03-01,66.78828
1979-04-01,66.90415
1979-05-01,67.16341
1979-06-01,67.11909
1979-07-01,67.14619
1979-08-01,67.16104
1979-09-01,66.95704
1979-10-01,67.28878
1979-11-01,67.12365
1979-12-01,66.98436
1980-01-01,67.02475
1980-02-01,67.03033
1980-03-01,66.98347
1980-04-01,66.98888000000001
1980-05-01,66.94188
1980-06-01,67.2482
1980-07-01,67.26935999999999
1980-08-01,67.2581
1980-09-01,67.32111
1980-10-01,67.11898000000001
1980-11-01,67.01704000000001
1980-12-01,67.04227
1981-01-01,67.10619
1981-02-01,66.98943
1981-03-01,67.08205
1981-04-01,67.23554
1981-05-01,67.02112
1981-06-01,67.07294
1981-07-01,67.13255
1981-08-01,67.24287
1981-09-01,67.07674
1981-10-01,67.07041
1981-11-01,67.33143000000001
1981-12-01,67.32106999999999
1982-01-01,67.26722
1982-02-01,67.39211
1982-03-01,67.49231999999999
1982-04-01,67.35694000000001
1982-05-01,67.3553
1982-06-01,67.08733000000001
1982-07-01,67.04379
1982-08-01,67.10862
1982-09-01,67.11726
1982-10-01,67.29241999999999
1982-11-01,67.40175
1982-12-01,67.76717
1983-01-01,67.74698000000001
1983-02-01,67.72555
1983-03-01,67.76111999999999
1983-04-01,67.65525
1983-05-01,67.83576
1983-06-01,67.81073
1983-07-01,67.80304
1983-08-01,67.73827
1983-09-01,67.70869
1983-10-01,67.69747
1983-11-01,67.65349
1983-12-01,67.50437
1984-01-01,67.28329000000001
1984-02-01,67.3715
1984-03-01,67.39921
1984-04-01,67.45347
1984-05-01,67.4093
1984-06-01,67.58684000000001
1984-07-01,67.48578
1984-08-01,67.51451999999999
1984-09-01,67.75487
1984-10-01,67.73827
1984-11-01,67.64341999999999
1984-12-01,67.61740999999999
1985-01-01,67.69115
1985-02-01,67.54538000000001
1985-03-01,67.37903
1985-04-01,67.53397
1985-05-01,67.44923
1985-06-01,67.24129
1985-07-01,67.32876999999999
1985-08-01,67.30266999999999
1985-09-01,67.39539
1985-10-01,67.29898
1985-11-01,67.21373
1985-12-01,66.96268
1986-01-01,67.42562
1986-02-01,67.41734
1986-03-01,67.32085
1986-04-01,67.20924000000001
1986-05-01,67.12154
1986-06-01,67.21391
1986-07-01,67.29363000000001
1986-08-01,67.30091999999999
1986-09-01,67.17019
1986-10-01,67.23416999999999
1986-11-01,67.11612
1986-12-01,66.95979
1987-01-01,66.88691
1987-02-01,66.91594
1987-03-01,67.02955
1987-04-01,67.01171
1987-05-01,66.96004
1987-06-01,67.0201
1987-07-01,67.07184000000001
1987-08-01,67.33301
1987-09-01,67.28389
1987-10-01,67.22374
1987-11-01,67.36282
1987-12-01,67.42319
1988-01-01,67.3912
1988-02-01,67.20605
1988-03-01,67.29649
1988-04-01,67.47723
1988-05-01,67.52750999999999
1988-06-01,67.52825
1988-07-01,67.51616999999999
1988-08-01,67.51259
1988-09-01,67.49710999999999
1988-10-01,67.45277
1988-11-01,67.50686999999999
1988-12-01,67.72131999999999
1989-01-01,67.71346
1989-02-01,67.86792
1989-03-01,67.87801
1989-04-01,68.00253000000001
1989-05-01,68.07106
1989-06-01,68.28193
1989-07-01,68.28155
1989-08-01,68.16060999999999
1989-09-01,68.10127
1989-10-01,68.20792
1989-11-01,68.31435
1989-12-01,68.4041
1990-01-01,68.42375
1990-02-01,68.63042
1990-03-01,68.79072
1990-04-01,68.63838
1990-05-01,68.82253
1990-06-01,68.67435
1990-07-01,68.8507
1990-08-01,68.72912
1990-09-01,68.98997
1990-10-01,69.0218
1990-11-01,69.03452
1990-12-01,69.06549
1991-01-01,69.27705
1991-02-01,69.26778
1991-03-01,69.2794
1991-04-01,69.26744000000001
1991-05-01,69.35423
1991-06-01,69.49471
1991-07-01,69.40335999999999
1991-08-01,69.53413
1991-09-01,69.58728
1991-10-01,69.545
1991-11-01,69.69773
1991-12-01,69.78902
1992-01-01,69.65703
1992-02-01,69.98194000000001
1992-03-01,69.79500999999999
1992-04-01,69.69433000000001
1992-05-01,69.64721
1992-06-01,69.59153
1992-07-01,69.54669
1992-08-01,69.67403
1992-09-01,69.64928
1992-10-01,69.90465999999999
1992-11-01,69.92042
1992-12-01,69.86007
1993-01-01,69.65665
1993-02-01,69.48714
1993-03-01,69.48113000000001
1993-04-01,69.59339
1993-05-01,69.53735
1993-06-01,69.51406
1993-07-01,69.59084
1993-08-01,69.6132
1993-09-01,69.5444
1993-10-01,69.61094
1993-11-01,69.59425999999999
1993-12-01,69.5917
1994-01-01,69.45940999999999
1994-02-01,69.28441
1994-03-01,69.29578000000001
1994-04-01,69.51902
1994-05-01,69.60351999999999
1994-06-01,69.41438000000001
1994-07-01,69.29899
1994-08-01,69.30311999999999
1994-09-01,69.20099
1994-10-01,69.21819
1994-11-01,69.29091
1994-12-01,69.24074
1995-01-01,69.25542
1995-02-01,69.27972
1995-03-01,69.25845
1995-04-01,69.22006
1995-05-01,69.22279
1995-06-01,69.234
1995-07-01,69.28157
1995-08-01,69.21134
1995-09-01,69.40742
1995-10-01,69.27336
1995-11-01,69.17211999999999
1995-12-01,69.20719
1996-01-01,69.19854000000001
1996-02-01,69.24036
1996-03-01,69.50903000000001
1996-04-01,69.45801
1996-05-01,69.35489
1996-06-01,69.65195
1996-07-01,69.80203
1996-08-01,69.7135
1996-09-01,69.7766
1996-10-01,69.66965
1996-11-01,69.71466
1996-12-01,69.7022
1997-01-01,69.9165
1997-02-01,70.1156
1997-03-01,70.07658
1997-04-01,70.10772
1997-05-01,70.05184
1997-06-01,70.20342
1997-07-01,70.20676
1997-08-01,70.057
1997-09-01,70.08163
1997-10-01,70.11568
1997-11-01,69.84281999999999
1997-12-01,70.00645
1998-01-01,70.13103000000001
1998-02-01,69.87402
1998-03-01,69.76288000000001
1998-04-01,69.5419
1998-05-01,69.63920999999999
1998-06-01,69.59748
1998-07-01,69.53028
1998-08-01,69.47444
1998-09-01,69.35771
1998-10-01,69.32988
1998-11-01,69.25673
1998-12-01,69.24488000000001
1999-01-01,69.13172
1999-02-01,69.03114000000001
1999-03-01,69.09782
1999-04-01,69.0562
1999-05-01,69.04544
1999-06-01,68.8633
1999-07-01,68.78661
1999-08-01,69.09322
1999-09-01,69.1776
1999-10-01,68.9497
1999-11-01,69.03738
1999-12-01,68.98549
2000-01-01,68.86086
2000-02-01,68.71970999999999
2000-03-01,68.69635
2000-04-01,68.97746
2000-05-01,69.11366
2000-06-01,68.97551999999999
2000-07-01,68.97981999999999
2000-08-01,68.98673000000001
2000-09-01,69.06398
2000-10-01,69.19221999999999
2000-11-01,69.19133000000001
2000-12-01,69.11357
2001-01-01,69.23368
2001-02-01,69.4155
2001-03-01,69.13055
2001-04-01,69.00441
2001-05-01,69.03918
2001-06-01,68.87142
2001-07-01,68.80355
2001-08-01,68.71078
2001-09-01,68.4135
2001-10-01,68.49
2001-11-01,68.59181
2001-12-01,68.37026
