Exports (Motor Vehicle) Year & Month / Type Jan 1993-Jan 2024
Specific Makes
,Passenger Cars,Passenger Cars,Passenger Cars,Passenger Cars,Trucks,Trucks,Trucks,Trucks,Buses,Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,,Grand Total
Oct 2018, 368498, 16622, 403, 385523, 29895, 2241, -, 32136, 9414, 844732,
Nov 2018, 372403, 20441, 145, 392989, 27114, 939, -, 28053, 9511, 851595,
Dec 2018, 371032, 26528, 80, 397640, 26611, 1128, 4, 27743, 8966, 859732,
Jan 2019, 305633, 24003, 616, 330252, 23515, 1062, -, 24577, 7614, 717272,
Feb 2019, 357420, 20107, 449, 377976, 28726, 1168, -, 29894, 9258, 824998,
Mar 2019, 375415, 18000, 358, 393773, 30055, 605, -, 30660, 8467, 857333,
Apr 2019, 367613, 19062, 160, 386835, 25466, 775, -, 26241, 9570, 835722,
May 2019, 304168, 17513, 25, 321706, 23509, 721, -, 24230, 9048, 700920,
Jun 2019, 361216, 16972, 54, 378242, 27249, 1041, -, 28290, 8857, 821921,
Jul 2019, 384580, 20242, 394, 405216, 28440, 624, -, 29064, 10746, 879306,
Aug 2019, 300740, 15644, 189, 316573, 23407, 780, -, 24187, 8758, 690278,
Sep 2019, 341204, 17483, 191, 358878, 29616, 766, -, 30382, 11711, 790231,
Oct 2019, 348862, 18210, 143, 367215, 24987, 562, -, 25549, 12047, 797575,
Nov 2019, 349122, 24477, 152, 373751, 25444, 798, -, 26242, 13061, 813047,
Dec 2019, 342105, 19691, 432, 362228, 24772, 885, -, 25657, 11377, 787147,
Jan 2020, 289988, 15475, 221, 305684, 19485, 1271, -, 20756, 8360, 661240,
Feb 2020, 337035, 19323, 303, 356661, 26185, 1862, -, 28047, 8902, 778318,
Mar 2020, 319844, 21245, 184, 341273, 28418, 1492, -, 29910, 8773, 751139,
Apr 2020, 158486, 9380, 47, 167913, 15963, 1663, -, 17626, 8063, 379141,
May 2020, 95140, 8610, 38, 103788, 12116, 718, -, 12834, 3298, 236542,
Jun 2020, 161822, 20739, 3, 182564, 13068, 1206, -, 14274, 3242, 396918,
Jul 2020, 248360, 23085, 19, 271464, 13335, 1411, -, 14746, 4961, 577381,
Aug 2020, 230269, 19898, 42, 250209, 13536, 1148, -, 14684, 5060, 534846,
Sep 2020, 325735, 23236, 406, 349377, 22696, 1065, -, 23761, 5199, 751475,
Oct 2020, 356942, 25044, 20, 382006, 25183, 970, -, 26153, 5703, 822021,
Nov 2020, 333491, 26777, 2025, 362293, 25587, 1323, -, 26910, 5687, 784093,
Dec 2020, 308380, 22346, 4041, 334767, 29026, 1152, -, 30178, 5706, 735596,
Jan 2021, 259189, 11933, 4140, 275262, 23659, 1412, -, 25071, 4681, 605347,
Feb 2021, 278029, 15343, 6240, 299612, 29307, 3066, -, 32373, 5582, 669552,
Mar 2021, 325339, 22783, 4695, 352817, 33280, 3299, -, 36579, 6266, 785058,
Apr 2021, 295837, 17010, 2318, 315165, 31734, 2254, -, 33988, 6506, 704812,
May 2021, 216412, 15379, 2559, 234350, 25477, 2364, -, 27841, 4888, 529270,
Jun 2021, 301478, 14227, 4476, 320181, 30461, 2333, -, 32794, 7694, 713644,
Jul 2021, 310936, 13807, 5203, 329946, 35194, 2844, -, 38038, 6905, 742873,
Aug 2021, 206430, 8188, 4934, 219552, 25187, 2203, -, 27390, 5212, 499096,
Sep 2021, 150474, 11488, 6266, 168228, 23438, 2561, -, 25999, 5798, 394252,
Oct 2021, 189923, 14291, 7374, 211588, 27242, 2047, -, 29289, 5312, 487066,
Nov 2021, 282767, 14249, 6211, 303227, 30255, 1773, -, 32028, 6823, 677333,
Dec 2021, 310997, 16678, 9987, 337662, 35566, 2051, -, 37617, 6646, 757204,
Jan 2022, 220017, 11619, 3297, 234933, 27319, 1670, -, 28989, 5487, 533331,
Feb 2022, 256692, 10966, 6674, 274332, 30221, 2348, -, 32569, 5561, 619363,
Mar 2022, 257085, 14127, 4143, 275355, 35904, 1970, -, 37874, 8228, 634686,
